city,latitude,max temperature,humidity,cloudiness,wind speed
Ulladulla,-35.36,68.0,42,0,9.17
Rikitea,-23.12,70.89,100,88,21.52
Port Alfred,-33.59,62.79,94,0,13.8
Avarua,-21.21,80.6,74,75,5.82
Busselton,-33.64,60.09,100,44,10.45
Vestmanna,62.16,44.6,93,92,2.24
Albany,42.65,64.94,67,90,12.75
Hobart,-42.88,64.4,39,20,16.11
Vagur,61.47,48.03,100,92,22.53
Jamestown,-33.21,67.56,41,0,10.33
Saskylakh,71.97,29.76,94,0,11.23
Lamar,38.09,60.98,34,1,8.05
Butaritari,3.07,83.94,100,8,6.98
Chuy,-33.69,61.44,98,92,15.93
Ushuaia,-54.81,39.2,51,0,6.93
Arraial do Cabo,-22.97,74.31,86,0,24.32
Dikson,73.51,37.86,100,76,14.92
Port-Gentil,-0.72,76.74,99,56,8.77
San Pedro,-33.68,60.18,86,92,21.74
Beeville,28.4,76.28,93,90,9.17
Chulym,55.09,57.21,72,0,4.52
Dingle,11.0,85.83,69,32,12.46
Bredasdorp,-34.53,60.8,67,56,3.36
Bathsheba,13.22,82.4,74,40,17.22
Puerto Ayora,-0.74,70.26,100,44,11.12
Ottumwa,41.02,51.8,76,1,6.93
Hermanus,-34.42,53.43,87,20,8.21
Sault Sainte Marie,46.49,48.02,93,40,2.84
Kaitangata,-46.28,47.85,87,64,12.8
College,64.86,50.0,64,90,4.7
Provideniya,64.42,50.0,76,75,13.42
Saint-Philippe,45.36,60.98,75,1,3.36
Nome,30.04,77.0,90,90,4.7
Launceston,-41.43,60.8,55,40,17.22
Cape Town,-33.93,57.2,93,75,23.04
Mataura,-46.19,48.39,88,80,9.78
East London,-33.02,68.1,100,8,21.18
Verkhnyaya Inta,65.99,43.08,93,80,7.54
Padang,-0.92,81.78,100,12,1.83
Tasiilaq,65.61,35.6,69,12,1.12
Le Port,42.87,39.93,93,0,1.72
Clyde River,70.47,24.8,79,90,4.7
Maraba,-5.35,82.4,78,0,2.24
Balikpapan,-1.24,87.8,70,20,6.93
